number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.9559518834658572,2026-04-23 14:05:03.360493,2026-04-23 14:06:49.411240,0 days 00:01:46.050747,0.1205712628744377,8,144,0.8394633936788146,COMPLETE
1,0.9562328143353683,2026-04-23 14:06:49.414235,2026-04-23 14:07:20.500303,0 days 00:00:31.086068,0.012184186502221764,3,89,0.9464704583099741,COMPLETE
2,0.9564250530237334,2026-04-23 14:07:20.504304,2026-04-23 14:09:30.604456,0 days 00:02:10.100152,0.010725209743171996,7,200,0.9879639408647978,COMPLETE
