number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.9557155258476819,2026-04-23 14:21:47.037677,2026-04-23 14:24:01.098712,0 days 00:02:14.061035,0.1205712628744377,8,144,0.8394633936788146,COMPLETE
1,0.9560674453932623,2026-04-23 14:24:01.104714,2026-04-23 14:24:43.266690,0 days 00:00:42.161976,0.012184186502221764,3,89,0.9464704583099741,COMPLETE
2,0.9561286338019596,2026-04-23 14:24:43.271197,2026-04-23 14:27:38.413653,0 days 00:02:55.142456,0.010725209743171996,7,200,0.9879639408647978,COMPLETE
